threshold,sensitivity,specificity,precision,f1,accuracy,youden,tp,fp,tn,fn
0.35,0.47368421052631576,0.8994334277620396,0.5034965034965035,0.488135593220339,0.824009324009324,0.3731176382883554,72,71,635,80
0.355,0.47368421052631576,0.8994334277620396,0.5034965034965035,0.488135593220339,0.824009324009324,0.3731176382883554,72,71,635,80
0.36,0.47368421052631576,0.8994334277620396,0.5034965034965035,0.488135593220339,0.824009324009324,0.3731176382883554,72,71,635,80
0.365,0.47368421052631576,0.8994334277620396,0.5034965034965035,0.488135593220339,0.824009324009324,0.3731176382883554,72,71,635,80
0.37,0.46710526315789475,0.9008498583569405,0.5035460992907801,0.48464163822525597,0.824009324009324,0.36795512151483534,71,70,636,81
0.375,0.46710526315789475,0.9036827195467422,0.5107913669064749,0.4879725085910653,0.8263403263403264,0.370787982704637,71,68,638,81
0.38,0.4605263157894737,0.9036827195467422,0.5072463768115942,0.48275862068965514,0.8251748251748252,0.36420903533621596,70,68,638,82
0.385,0.4473684210526316,0.9050991501416431,0.5037037037037037,0.4738675958188153,0.824009324009324,0.35246757119427463,68,67,639,84
0.39,0.4473684210526316,0.9079320113314447,0.5112781954887218,0.4771929824561403,0.8263403263403264,0.35530043238407627,68,65,641,84
0.395,0.4407894736842105,0.9093484419263456,0.5114503816793893,0.4734982332155477,0.8263403263403264,0.35013791561055596,67,64,642,85
0.4,0.4407894736842105,0.9107648725212465,0.5153846153846153,0.475177304964539,0.8275058275058275,0.3515543462054569,67,63,643,85
0.405,0.4342105263157895,0.9107648725212465,0.5116279069767442,0.4697508896797153,0.8263403263403264,0.3449753988370361,66,63,643,86
0.41,0.4342105263157895,0.9107648725212465,0.5116279069767442,0.4697508896797153,0.8263403263403264,0.3449753988370361,66,63,643,86
0.415,0.4276315789473684,0.9107648725212465,0.5078125,0.46428571428571436,0.8251748251748252,0.33839645146861486,65,63,643,87
0.42,0.4276315789473684,0.9107648725212465,0.5078125,0.46428571428571436,0.8251748251748252,0.33839645146861486,65,63,643,87
0.425,0.42105263157894735,0.9107648725212465,0.5039370078740157,0.45878136200716846,0.824009324009324,0.33181750410019384,64,63,643,88
0.43,0.4144736842105263,0.9121813031161473,0.504,0.4548736462093863,0.824009324009324,0.32665498732667375,63,62,644,89
0.435,0.40789473684210525,0.9150141643059491,0.5081967213114754,0.4525547445255475,0.8251748251748252,0.3229089011480544,62,60,646,90
0.44,0.40789473684210525,0.9178470254957507,0.5166666666666667,0.4558823529411765,0.8275058275058275,0.325741762337856,62,58,648,90
0.445,0.40789473684210525,0.9192634560906515,0.5210084033613446,0.45756457564575653,0.8286713286713286,0.3271581929327567,62,57,649,90
0.45,0.40789473684210525,0.9192634560906515,0.5210084033613446,0.45756457564575653,0.8286713286713286,0.3271581929327567,62,57,649,90
0.455,0.40131578947368424,0.9206798866855525,0.5213675213675214,0.45353159851301117,0.8286713286713286,0.32199567615923663,61,56,650,91
0.46,0.40131578947368424,0.9206798866855525,0.5213675213675214,0.45353159851301117,0.8286713286713286,0.32199567615923663,61,56,650,91
0.465,0.40131578947368424,0.9235127478753541,0.5304347826086957,0.45692883895131087,0.831002331002331,0.32482853734903827,61,54,652,91
0.47,0.40131578947368424,0.9263456090651558,0.5398230088495575,0.46037735849056605,0.8333333333333334,0.32766139853884013,61,52,654,91
0.475,0.40131578947368424,0.9263456090651558,0.5398230088495575,0.46037735849056605,0.8333333333333334,0.32766139853884013,61,52,654,91
0.48,0.39473684210526316,0.9291784702549575,0.5454545454545454,0.4580152671755725,0.8344988344988346,0.32391531236022075,60,50,656,92
0.485,0.3815789473684211,0.9305949008498584,0.5420560747663551,0.4478764478764478,0.8333333333333334,0.3121738482182794,58,49,657,94
0.49,0.375,0.93342776203966,0.5480769230769231,0.4453125,0.8344988344988346,0.30842776203966005,57,47,659,95
0.495,0.3618421052631579,0.93342776203966,0.5392156862745098,0.4330708661417323,0.8321678321678322,0.295269867302818,55,47,659,97
0.5,0.35526315789473684,0.93342776203966,0.5346534653465347,0.4268774703557312,0.831002331002331,0.288690919934397,54,47,659,98
0.505,0.35526315789473684,0.9362606232294618,0.5454545454545454,0.4302788844621514,0.8333333333333334,0.29152378112419863,54,45,661,98
0.51,0.35526315789473684,0.9362606232294618,0.5454545454545454,0.4302788844621514,0.8333333333333334,0.29152378112419863,54,45,661,98
0.515,0.35526315789473684,0.9362606232294618,0.5454545454545454,0.4302788844621514,0.8333333333333334,0.29152378112419863,54,45,661,98
0.52,0.35526315789473684,0.9376770538243626,0.5510204081632653,0.432,0.8344988344988346,0.29294021171909934,54,44,662,98
0.525,0.35526315789473684,0.9405099150141643,0.5625,0.43548387096774194,0.8368298368298368,0.2957730729089012,54,42,664,98
0.53,0.34868421052631576,0.9405099150141643,0.5578947368421052,0.4291497975708502,0.8356643356643356,0.28919412554047996,53,42,664,99
0.535,0.3355263157894737,0.9405099150141643,0.5483870967741935,0.41632653061224484,0.8333333333333334,0.2760362308036379,51,42,664,101
0.54,0.3355263157894737,0.9405099150141643,0.5483870967741935,0.41632653061224484,0.8333333333333334,0.2760362308036379,51,42,664,101
0.545,0.3355263157894737,0.9419263456090652,0.5543478260869565,0.41803278688524587,0.8344988344988346,0.27745266139853886,51,41,665,101
0.55,0.32894736842105265,0.9419263456090652,0.5494505494505495,0.411522633744856,0.8333333333333334,0.27087371403011784,50,41,665,102
0.555,0.32894736842105265,0.943342776203966,0.5555555555555556,0.41322314049586784,0.8344988344988346,0.27229014462501855,50,40,666,102
0.56,0.32894736842105265,0.9461756373937678,0.5681818181818182,0.41666666666666674,0.8368298368298368,0.2751230058148204,50,38,668,102
0.565,0.3223684210526316,0.9461756373937678,0.5632183908045977,0.41004184100418417,0.8356643356643356,0.2685440584463994,49,38,668,103
0.57,0.3223684210526316,0.9461756373937678,0.5632183908045977,0.41004184100418417,0.8356643356643356,0.2685440584463994,49,38,668,103
0.575,0.3157894736842105,0.9475920679886686,0.5647058823529412,0.4050632911392405,0.8356643356643356,0.2633815416728791,48,37,669,104
0.58,0.3157894736842105,0.9475920679886686,0.5647058823529412,0.4050632911392405,0.8356643356643356,0.2633815416728791,48,37,669,104
