threshold,sensitivity,specificity,precision,f1,accuracy,youden,tp,fp,tn,fn
0.155,0.7960526315789473,0.6813031161473088,0.34971098265895956,0.48594377510040165,0.7016317016317016,0.4773557477262562,121,225,481,31
0.16,0.7894736842105263,0.6954674220963173,0.3582089552238806,0.4928131416837782,0.7121212121212122,0.4849411063068436,120,215,491,32
0.165,0.7828947368421053,0.7039660056657224,0.3628048780487805,0.49583333333333335,0.717948717948718,0.48686074250782774,119,209,497,33
0.17,0.7697368421052632,0.7152974504249292,0.36792452830188677,0.4978723404255319,0.7249417249417249,0.48503429253019226,117,201,505,35
0.175,0.756578947368421,0.7252124645892352,0.37216828478964403,0.4989154013015185,0.7307692307692307,0.4817914119576563,115,194,512,37
0.18,0.743421052631579,0.7351274787535411,0.37666666666666665,0.5,0.7365967365967366,0.4785485313851201,113,187,519,39
0.185,0.7368421052631579,0.7422096317280453,0.38095238095238093,0.5022421524663676,0.7412587412587412,0.4790517369912033,112,182,524,40
0.19,0.7236842105263158,0.7549575070821529,0.38869257950530034,0.5057471264367815,0.7494172494172494,0.47864171760846874,110,173,533,42
0.195,0.7236842105263158,0.7719546742209632,0.4059040590405904,0.5200945626477542,0.7634032634032634,0.495638884747279,110,161,545,42
0.2,0.7039473684210527,0.7818696883852692,0.4099616858237548,0.5181598062953996,0.7680652680652681,0.4858170568063218,107,154,552,45
0.205,0.6776315789473685,0.7889518413597734,0.4087301587301587,0.5099009900990099,0.7692307692307693,0.46658342030714195,103,149,557,49
0.21,0.6644736842105263,0.7974504249291785,0.4139344262295082,0.5101010101010102,0.7738927738927739,0.46192410913970483,101,143,563,51
0.215,0.6578947368421053,0.8059490084985835,0.4219409282700422,0.5141388174807198,0.7797202797202797,0.46384374534068895,100,137,569,52
0.22,0.6578947368421053,0.8116147308781869,0.4291845493562232,0.5194805194805194,0.7843822843822844,0.46950946772029223,100,133,573,52
0.225,0.6447368421052632,0.8158640226628895,0.4298245614035088,0.5157894736842106,0.7855477855477856,0.46060086476815254,98,130,576,54
0.23,0.625,0.8215297450424929,0.4298642533936652,0.5093833780160859,0.7867132867132867,0.446529745042493,95,126,580,57
0.235,0.618421052631579,0.8286118980169972,0.4372093023255814,0.5122615803814715,0.7913752913752914,0.4470329506485762,94,121,585,58
0.24,0.6052631578947368,0.8328611898016998,0.4380952380952381,0.5082872928176795,0.7925407925407926,0.4381243476964367,92,118,588,60
0.245,0.5921052631578947,0.8413597733711048,0.44554455445544555,0.5084745762711864,0.7972027972027972,0.43346503652899937,90,112,594,62
0.25,0.5855263157894737,0.8484419263456091,0.45408163265306123,0.5114942528735632,0.8018648018648019,0.4339682421350828,89,107,599,63
0.255,0.5789473684210527,0.8569405099150141,0.4656084656084656,0.5161290322580645,0.8076923076923077,0.4358878783360667,88,101,605,64
0.26,0.5723684210526315,0.8611898016997167,0.4702702702702703,0.5163204747774481,0.8100233100233101,0.43355822275234823,87,98,608,65
0.265,0.5592105263157895,0.8668555240793201,0.4748603351955307,0.5135951661631419,0.8123543123543123,0.4260660503951095,85,94,612,67
0.27,0.5526315789473685,0.8696883852691218,0.4772727272727273,0.5121951219512196,0.8135198135198135,0.4223199642164903,84,92,614,68
0.275,0.5263157894736842,0.8725212464589235,0.47058823529411764,0.49689440993788814,0.8111888111888111,0.39883703593260766,80,90,616,72
0.28,0.5197368421052632,0.8781869688385269,0.47878787878787876,0.4984227129337539,0.8146853146853147,0.3979238109437899,79,86,620,73
0.285,0.5197368421052632,0.8852691218130312,0.49375,0.5064102564102565,0.8205128205128205,0.40500596391829435,79,81,625,73
0.29,0.5131578947368421,0.8852691218130312,0.49056603773584906,0.5016077170418006,0.8193473193473193,0.39842701654987334,78,81,625,74
0.295,0.48026315789473684,0.8909348441926346,0.4866666666666667,0.48344370860927155,0.8181818181818182,0.3711980020873713,73,77,629,79
0.3,0.4605263157894737,0.8923512747875354,0.4794520547945205,0.4697986577181208,0.8158508158508159,0.35287759057700896,70,76,630,82
0.305,0.45394736842105265,0.8994334277620396,0.4928571428571429,0.4726027397260274,0.8205128205128205,0.35338079618309237,69,71,635,83
0.31,0.45394736842105265,0.9036827195467422,0.5036496350364964,0.4775086505190312,0.824009324009324,0.3576300879677947,69,68,638,83
0.315,0.45394736842105265,0.9050991501416431,0.5073529411764706,0.4791666666666667,0.8251748251748252,0.35904651856269565,69,67,639,83
0.32,0.4473684210526316,0.9121813031161473,0.5230769230769231,0.4822695035460993,0.8298368298368298,0.35954972416877884,68,62,644,84
0.325,0.4473684210526316,0.9150141643059491,0.53125,0.4857142857142857,0.8321678321678322,0.3623825853585807,68,60,646,84
0.33,0.4407894736842105,0.9150141643059491,0.5275590551181102,0.4802867383512544,0.831002331002331,0.3558036379901597,67,60,646,85
0.335,0.4276315789473684,0.9192634560906515,0.5327868852459017,0.4744525547445256,0.8321678321678322,0.34689503503802,65,57,649,87
0.34,0.4144736842105263,0.9263456090651558,0.5478260869565217,0.47191011235955055,0.8356643356643356,0.34081929327568217,63,52,654,89
0.345,0.4144736842105263,0.9277620396600567,0.5526315789473685,0.4736842105263158,0.8368298368298368,0.3422357238705831,63,51,655,89
0.35,0.4144736842105263,0.9291784702549575,0.5575221238938053,0.47547169811320755,0.837995337995338,0.3436521544654838,63,50,656,89
0.355,0.39473684210526316,0.93342776203966,0.5607476635514018,0.4633204633204633,0.837995337995338,0.3281646041449231,60,47,659,92
0.36,0.39473684210526316,0.9405099150141643,0.5882352941176471,0.4724409448818898,0.8438228438228438,0.3352467571194273,60,42,664,92
0.365,0.3881578947368421,0.9419263456090652,0.59,0.46825396825396826,0.8438228438228438,0.3300842403459072,59,41,665,93
0.37,0.3881578947368421,0.943342776203966,0.5959595959595959,0.4701195219123505,0.844988344988345,0.33150067094080815,59,40,666,93
0.375,0.375,0.9461756373937678,0.6,0.4615384615384615,0.844988344988345,0.32117563739376775,57,38,668,95
0.38,0.375,0.9504249291784702,0.6195652173913043,0.4672131147540984,0.8484848484848485,0.3254249291784701,57,35,671,95
0.385,0.35526315789473684,0.953257790368272,0.6206896551724138,0.45188284518828453,0.8473193473193473,0.3085209482630087,54,33,673,98
0.39,0.34868421052631576,0.953257790368272,0.6162790697674418,0.4453781512605042,0.8461538461538461,0.30194200089458767,53,33,673,99
0.395,0.34210526315789475,0.9546742209631728,0.6190476190476191,0.44067796610169496,0.8461538461538461,0.2967794841210676,52,32,674,100
0.4,0.3223684210526316,0.9546742209631728,0.6049382716049383,0.4206008583690987,0.8426573426573427,0.2770426420158043,49,32,674,103
0.405,0.3157894736842105,0.9560906515580736,0.6075949367088608,0.41558441558441556,0.8426573426573427,0.271880125242284,48,31,675,104
0.41,0.3026315789473684,0.9589235127478754,0.6133333333333333,0.40528634361233484,0.8426573426573427,0.2615550916952438,46,29,677,106
0.415,0.3026315789473684,0.9617563739376771,0.6301369863013698,0.40888888888888886,0.844988344988345,0.26438795288504546,46,27,679,106
0.42,0.3026315789473684,0.9631728045325779,0.6388888888888888,0.4107142857142857,0.8461538461538461,0.2658043834799464,46,26,680,106
0.425,0.3026315789473684,0.9631728045325779,0.6388888888888888,0.4107142857142857,0.8461538461538461,0.2658043834799464,46,26,680,106
0.43,0.3026315789473684,0.9660056657223796,0.6571428571428571,0.4144144144144144,0.8484848484848485,0.26863724466974803,46,24,682,106
0.435,0.3026315789473684,0.9660056657223796,0.6571428571428571,0.4144144144144144,0.8484848484848485,0.26863724466974803,46,24,682,106
0.44,0.3026315789473684,0.9674220963172805,0.6666666666666666,0.41628959276018096,0.8496503496503497,0.27005367526464896,46,23,683,106
0.445,0.29605263157894735,0.9688385269121813,0.6716417910447762,0.410958904109589,0.8496503496503497,0.26489115849112865,45,22,684,107
0.45,0.28289473684210525,0.9702549575070821,0.671875,0.3981481481481481,0.8484848484848485,0.2531496943491873,43,21,685,109
0.455,0.28289473684210525,0.9702549575070821,0.671875,0.3981481481481481,0.8484848484848485,0.2531496943491873,43,21,685,109
0.46,0.26973684210526316,0.9702549575070821,0.6612903225806451,0.38317757009345793,0.8461538461538461,0.2399917996123453,41,21,685,111
0.465,0.2631578947368421,0.9702549575070821,0.6557377049180327,0.3755868544600939,0.844988344988345,0.23341285224392427,40,21,685,112
0.47,0.2565789473684211,0.9716713881019831,0.6610169491525424,0.3696682464454977,0.844988344988345,0.2282503354704042,39,20,686,113
0.475,0.24342105263157895,0.9716713881019831,0.6491228070175439,0.35406698564593303,0.8426573426573427,0.21509244073356193,37,20,686,115
0.48,0.23684210526315788,0.9730878186968839,0.6545454545454545,0.34782608695652173,0.8426573426573427,0.20992992396004184,36,19,687,116
0.485,0.23684210526315788,0.9730878186968839,0.6545454545454545,0.34782608695652173,0.8426573426573427,0.20992992396004184,36,19,687,116
0.49,0.23026315789473684,0.9730878186968839,0.6481481481481481,0.33980582524271846,0.8414918414918415,0.20335097659162082,35,19,687,117
0.495,0.23026315789473684,0.9745042492917847,0.660377358490566,0.3414634146341463,0.8426573426573427,0.20476740718652153,35,18,688,117
0.5,0.21710526315789475,0.9745042492917847,0.6470588235294118,0.3251231527093596,0.8403263403263403,0.1916095124496795,33,18,688,119
0.505,0.21052631578947367,0.9759206798866855,0.6530612244897959,0.3184079601990049,0.8403263403263403,0.1864469956761592,32,17,689,120
0.51,0.21052631578947367,0.9773371104815864,0.6666666666666666,0.32,0.8414918414918415,0.18786342627106012,32,16,690,120
0.515,0.21052631578947367,0.9787535410764873,0.6808510638297872,0.32160804020100503,0.8426573426573427,0.18927985686596083,32,15,691,120
0.52,0.21052631578947367,0.9801699716713881,0.6956521739130435,0.32323232323232326,0.8438228438228438,0.19069628746086176,32,14,692,120
0.525,0.21052631578947367,0.9801699716713881,0.6956521739130435,0.32323232323232326,0.8438228438228438,0.19069628746086176,32,14,692,120
0.53,0.21052631578947367,0.9801699716713881,0.6956521739130435,0.32323232323232326,0.8438228438228438,0.19069628746086176,32,14,692,120
0.535,0.20394736842105263,0.9801699716713881,0.6888888888888889,0.3147208121827411,0.8426573426573427,0.18411734009244074,31,14,692,121
0.54,0.19736842105263158,0.9815864022662889,0.6976744186046512,0.30769230769230776,0.8426573426573427,0.17895482331892043,30,13,693,122
0.545,0.19736842105263158,0.9815864022662889,0.6976744186046512,0.30769230769230776,0.8426573426573427,0.17895482331892043,30,13,693,122
0.55,0.19078947368421054,0.9830028328611898,0.7073170731707317,0.3005181347150259,0.8426573426573427,0.17379230654540034,29,12,694,123
0.555,0.19078947368421054,0.9844192634560907,0.725,0.30208333333333337,0.8438228438228438,0.17520873714030127,29,11,695,123
0.56,0.19078947368421054,0.9844192634560907,0.725,0.30208333333333337,0.8438228438228438,0.17520873714030127,29,11,695,123
0.565,0.18421052631578946,0.9844192634560907,0.717948717948718,0.2931937172774869,0.8426573426573427,0.16862978977188003,28,11,695,124
0.57,0.17105263157894737,0.9844192634560907,0.7027027027027027,0.2751322751322752,0.8403263403263403,0.155471895035038,26,11,695,126
0.575,0.17105263157894737,0.9858356940509915,0.7222222222222222,0.2765957446808511,0.8414918414918415,0.15688832562993893,26,10,696,126
0.58,0.17105263157894737,0.9872521246458924,0.7428571428571429,0.27807486631016043,0.8426573426573427,0.15830475622483986,26,9,697,126
0.585,0.16447368421052633,0.9872521246458924,0.7352941176470589,0.2688172043010753,0.8414918414918415,0.15172580885641862,25,9,697,127
0.59,0.16447368421052633,0.9872521246458924,0.7352941176470589,0.2688172043010753,0.8414918414918415,0.15172580885641862,25,9,697,127
0.595,0.16447368421052633,0.9886685552407932,0.7575757575757576,0.2702702702702703,0.8426573426573427,0.15314223945131955,25,8,698,127
0.6,0.15789473684210525,0.9886685552407932,0.75,0.2608695652173913,0.8414918414918415,0.14656329208289853,24,8,698,128
